y,yhat
1,0.951184
0,0.681042
0,0.375898
1,0.687247
1,0.533734
0,0.345637
0,0.136516
0,0.121646
0,0.260091
0,0.685298
0,0.403657
0,0.125868
1,0.806427
0,0.117033
0,0.332791
1,0.516754
1,0.724746
0,0.141492
0,0.254087
0,0.506772
0,0.137704
0,0.179715
0,0.246422
0,0.316621
0,0.263497
0,0.062311
0,0.134321
0,0.219836
0,0.20665
0,0.488147
1,0.73444
0,0.509877
0,0.12311
1,0.816221
0,0.300023
0,0.203036
0,0.261023
0,0.34915
1,0.598925
0,0.41053
0,0.026592
0,0.58462
0,0.048186
0,0.361998
0,0.444522
0,0.415855
1,0.563697
0,0.471563
0,0.336831
0,0.194575
0,0.15088
0,0.340464
0,0.358722
0,0.085146
0,0.369998
0,0.447972
1,0.442901
0,0.41682
0,0.464172
0,0.198974
1,0.613809
0,0.154788
0,0.205948
1,0.745382
1,0.74698
1,0.76868
0,0.21327
0,0.128619
0,0.53643
1,0.710932
0,0.172732
0,0.038914
0,0.162724
1,0.314018
0,0.254551
0,0.401587
0,0.188666
0,0.207667
0,0.108101
0,0.590261
0,0.52598
0,0.410889
0,0.392235
0,0.111294
0,0.347364
0,0.329586
0,0.35988
0,0.033884
0,0.162776
0,0.106337
1,0.892837
0,0.192754
1,0.649428
0,0.35147
0,0.522422
1,0.682106
0,0.404616
0,0.271633
0,0.047355
0,0.295353
1,0.686117
1,0.538392
1,0.759724
0,0.25375
1,0.566
1,0.665656
0,0.304308
0,0.188331
1,0.785257
0,0.180894
1,0.612923
0,0.111522
1,0.780617
0,0.106697
0,0.428011
0,0.527691
1,0.855076
0,0.368257
0,0.502057
0,0.473299
1,0.629672
0,0.223324
1,0.728257
0,0.260917
0,0.365397
0,0.200105
0,0.279088
1,0.766779
0,0.218672
0,0.273728
1,0.774423
0,0.448747
0,0.34161
1,0.910309
0,0.069727
0,0.287004
1,0.98726
0,0.254446
0,0.366733
0,0.270973
1,0.894542
0,0.463428
0,0.053295
1,0.798054
1,0.620815
0,0.258407
0,0.139083
0,0.329748
1,0.856645
0,0.284773
0,0.249801
1,0.503359
1,0.540119
0,0.399918
1,0.950098
0,0.342753
1,0.867434
0,0.05235
0,0.06215
1,0.462058
0,0.102295
0,0.735224
1,0.476488
1,0.723177
0,0.237869
0,0.204004
0,0.419159
0,0.18798
0,0.244324
0,0.39708
1,0.644423
0,0.07705
0,0.551202
0,0.304633
1,0.875232
0,0.382794
0,0.427203
0,0.124332
0,0.0933
0,0.554933
1,0.719826
1,0.832239
0,0.323902
0,0.107053
1,0.663366
1,0.694704
0,0.183794
0,0.552445
0,0.084853
0,0.373096
1,0.338937
1,0.736518
1,0.881947
0,0.312639
0,0.07414
1,0.813371
1,0.894391
0,0.537294
1,0.740298
1,0.417357
0,0.268777
0,0.543421
0,0.22075
0,0.036452
0,0.300411
1,0.418236
0,0.172241
0,0.207951
0,0.270888
0,0.041948
1,0.772694
0,0.2696
0,0.620825
1,0.83578
0,0.254162
0,0.138774
